"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Vitamin D","IPF(2a)-III","492","32.57","54.87","-0.49","-0.46","0.03 (-0.08, 0.14)","0.62","0.94"
"4","","2,3-dinor-iPF(2α)-III","490","32.59","54.94","1.63","1.66","0.02 (-0.01, 0.06)","0.23","0.94"
"5","","iPF(2α)-VI","493","32.58","54.97","2.48","2.49","0.01 (-0.04, 0.06)","0.74","0.94"
"6","","8,12-iso-iPF(2a)-VII","490","32.59","54.94","2.33","2.31","-0.02 (-0.09, 0.06)","0.64","0.94"
"7","","Combined urinary oxidative stress biomarkers","493","32.58","54.97","2.86","2.88","0.02 (-0.13, 0.17)","0.78","0.94"
"8","","Mean change in cortisol","489","32.54","55.44","-0.01","-0.01","0 (0, 0)","0.89","0.98"
"9","","Pre-stressor salivary cortisol","537","32.58","55.35","-2.05","-2.07","-0.02 (-0.1, 0.06)","0.64","0.94"
"10","","Post-stressor salivary cortisol","492","32.34","55.34","-1.16","-1.19","-0.03 (-0.3, 0.25)","0.85","0.98"
"11","","Mean change in sAA","505","32.17","54.97","-3.05","-3.04","0.01 (-0.02, 0.04)","0.5","0.94"
"12","","Pre-stressor sAA","534","32.45","55.29","4.01","4.05","0.05 (-0.05, 0.15)","0.36","0.94"
"13","","Post-stressor sAA","512","32.22","55.31","4.4","4.42","0.03 (-0.09, 0.14)","0.64","0.94"
"14","","Mean Arterial Pressure","540","32.41","55.34","64.96","63.71","-1.26 (-1.98, -0.53)","0","0.04"
"15","","Mean resting heart rate","542","32.45","55.34","110.88","110.73","-0.15 (-1.98, 1.67)","0.88","0.98"
"16","","Overall mean methylation of GCR","537","32.53","55.35","0.43","0.43","0 (-0.03, 0.03)","1","1"
"17","","Methylation of CpG#12","282","34.13","56.17","-4.37","-4.28","0.08 (-0.02, 0.18)","0.1","0.87"
"18","","","","","","","","","",""
"19","Ferritin","IPF(2a)-III","492","2.52","3.89","-0.52","-0.51","0.02 (-0.1, 0.13)","0.79","0.94"
"20","","2,3-dinor-iPF(2α)-III","490","2.52","3.89","1.65","1.64","-0.01 (-0.06, 0.04)","0.73","0.94"
"21","","iPF(2α)-VI","493","2.52","3.89","2.5","2.48","-0.03 (-0.11, 0.05)","0.51","0.94"
"22","","8,12-iso-iPF(2a)-VII","490","2.52","3.89","2.39","2.36","-0.03 (-0.13, 0.07)","0.53","0.94"
"23","","Combined urinary oxidative stress biomarkers","493","2.52","3.89","2.85","2.85","0 (-0.16, 0.15)","0.96","1"
"24","","Mean change in cortisol","489","2.51","3.84","-0.01","-0.01","0 (0, 0)","0.06","0.87"
"25","","Pre-stressor salivary cortisol","537","2.53","3.82","-2.07","-2.05","0.02 (-0.07, 0.12)","0.64","0.94"
"26","","Post-stressor salivary cortisol","492","2.51","3.83","-1.31","-1.19","0.13 (-0.01, 0.27)","0.07","0.87"
"27","","Mean change in sAA","505","2.53","3.82","-1.91","-3.14","-1.23 (-2.33, -0.13)","0.03","0.87"
"28","","Pre-stressor sAA","534","2.52","3.81","4.03","4.03","0 (-0.11, 0.12)","0.98","1"
"29","","Post-stressor sAA","512","2.53","3.82","4.4","4.41","0.01 (-0.12, 0.14)","0.87","0.98"
"30","","Mean Arterial Pressure","540","2.52","3.81","64.15","64.66","0.52 (-0.34, 1.38)","0.24","0.94"
"31","","Mean resting heart rate","542","2.52","3.81","110.43","111.19","0.75 (-1.45, 2.95)","0.51","0.94"
"32","","Overall mean methylation of GCR","537","2.53","3.81","0.42","0.43","0.02 (-0.02, 0.06)","0.42","0.94"
"33","","Methylation of CpG#12","282","2.51","3.89","-4.35","-4.31","0.04 (-0.05, 0.13)","0.39","0.94"
"34","","","","","","","","","",""
"35","sTfR","IPF(2a)-III","492","1.29","1.7","-0.5","-0.49","0.01 (-0.06, 0.08)","0.76","0.94"
"36","","2,3-dinor-iPF(2α)-III","490","1.29","1.7","1.66","1.64","-0.02 (-0.06, 0.02)","0.4","0.94"
"37","","iPF(2α)-VI","493","1.29","1.7","2.49","2.49","0 (-0.06, 0.05)","0.94","1"
"38","","8,12-iso-iPF(2a)-VII","490","1.29","1.7","2.32","2.3","-0.02 (-0.09, 0.05)","0.67","0.94"
"39","","Combined urinary oxidative stress biomarkers","493","1.29","1.7","2.86","2.84","-0.02 (-0.12, 0.08)","0.73","0.94"
"40","","Mean change in cortisol","489","1.29","1.69","-0.01","-0.01","0 (0, 0)","0.17","0.94"
"41","","Pre-stressor salivary cortisol","537","1.3","1.7","-2.12","-2.04","0.08 (-0.08, 0.25)","0.32","0.94"
"42","","Post-stressor salivary cortisol","492","1.29","1.69","-1.22","-1.3","-0.08 (-0.18, 0.02)","0.13","0.94"
"43","","Mean change in sAA","505","1.3","1.72","-3.38","-3.38","0 (-0.01, 0)","0.75","0.94"
"44","","Pre-stressor sAA","534","1.3","1.71","4.05","4.07","0.03 (-0.06, 0.12)","0.56","0.94"
"45","","Post-stressor sAA","512","1.3","1.71","4.4","4.42","0.02 (-0.08, 0.12)","0.71","0.94"
"46","","Mean Arterial Pressure","540","1.3","1.71","64.52","64.39","-0.13 (-0.79, 0.54)","0.72","0.94"
"47","","Mean resting heart rate","542","1.3","1.71","111.53","109.34","-2.18 (-4.78, 0.43)","0.1","0.87"
"48","","Overall mean methylation of GCR","537","1.3","1.71","0.42","0.44","0.01 (-0.02, 0.04)","0.44","0.94"
